controller_time_s,frame_idx,head_image,wrist_image
4436.217,1,frame_00001.png,frame_00001.png
4436.4169999999995,2,frame_00002.png,frame_00002.png
4436.517,3,frame_00003.png,frame_00003.png
4436.617,4,frame_00004.png,frame_00004.png
4436.717,5,frame_00005.png,frame_00005.png
4436.817,6,frame_00006.png,frame_00006.png
4436.9169999999995,7,frame_00007.png,frame_00007.png
4437.017,8,frame_00008.png,frame_00008.png
4437.117,9,frame_00009.png,frame_00009.png
4437.217,10,frame_00010.png,frame_00010.png
4437.317,11,frame_00011.png,frame_00011.png
4437.4169999999995,12,frame_00012.png,frame_00012.png
4437.517,13,frame_00013.png,frame_00013.png
4437.617,14,frame_00014.png,frame_00014.png
4437.717,15,frame_00015.png,frame_00015.png
4437.817,16,frame_00016.png,frame_00016.png
4437.9169999999995,17,frame_00017.png,frame_00017.png
4438.017,18,frame_00018.png,frame_00018.png
4438.117,19,frame_00019.png,frame_00019.png
4438.217,20,frame_00020.png,frame_00020.png
4438.317,21,frame_00021.png,frame_00021.png
4438.4169999999995,22,frame_00022.png,frame_00022.png
4438.517,23,frame_00023.png,frame_00023.png
4438.617,24,frame_00024.png,frame_00024.png
4438.717,25,frame_00025.png,frame_00025.png
4438.817,26,frame_00026.png,frame_00026.png
4438.9169999999995,27,frame_00027.png,frame_00027.png
4439.017,28,frame_00028.png,frame_00028.png
4439.117,29,frame_00029.png,frame_00029.png
4439.217,30,frame_00030.png,frame_00030.png
4439.317,31,frame_00031.png,frame_00031.png
4439.4169999999995,32,frame_00032.png,frame_00032.png
4439.517,33,frame_00033.png,frame_00033.png
4439.617,34,frame_00034.png,frame_00034.png
4439.717,35,frame_00035.png,frame_00035.png
4439.817,36,frame_00036.png,frame_00036.png
4439.9169999999995,37,frame_00037.png,frame_00037.png
4440.017,38,frame_00038.png,frame_00038.png
4440.117,39,frame_00039.png,frame_00039.png
4440.217,40,frame_00040.png,frame_00040.png
4440.317,41,frame_00041.png,frame_00041.png
4440.4169999999995,42,frame_00042.png,frame_00042.png
4440.517,43,frame_00043.png,frame_00043.png
4440.617,44,frame_00044.png,frame_00044.png
4440.717,45,frame_00045.png,frame_00045.png
4440.817,46,frame_00046.png,frame_00046.png
4440.9169999999995,47,frame_00047.png,frame_00047.png
4441.017,48,frame_00048.png,frame_00048.png
4441.117,49,frame_00049.png,frame_00049.png
4441.217,50,frame_00050.png,frame_00050.png
4441.317,51,frame_00051.png,frame_00051.png
4441.4169999999995,52,frame_00052.png,frame_00052.png
4441.517,53,frame_00053.png,frame_00053.png
4441.617,54,frame_00054.png,frame_00054.png
4441.717,55,frame_00055.png,frame_00055.png
4441.817,56,frame_00056.png,frame_00056.png
4441.9169999999995,57,frame_00057.png,frame_00057.png
4442.017,58,frame_00058.png,frame_00058.png
4442.117,59,frame_00059.png,frame_00059.png
4442.217,60,frame_00060.png,frame_00060.png
4442.317,61,frame_00061.png,frame_00061.png
4442.4169999999995,62,frame_00062.png,frame_00062.png
4442.517,63,frame_00063.png,frame_00063.png
4442.617,64,frame_00064.png,frame_00064.png
4442.717,65,frame_00065.png,frame_00065.png
4442.817,66,frame_00066.png,frame_00066.png
4442.9169999999995,67,frame_00067.png,frame_00067.png
4443.017,68,frame_00068.png,frame_00068.png
4443.117,69,frame_00069.png,frame_00069.png
4443.217,70,frame_00070.png,frame_00070.png
4443.317,71,frame_00071.png,frame_00071.png
4443.4169999999995,72,frame_00072.png,frame_00072.png
4443.517,73,frame_00073.png,frame_00073.png
4443.617,74,frame_00074.png,frame_00074.png
4443.717,75,frame_00075.png,frame_00075.png
4443.817,76,frame_00076.png,frame_00076.png
4443.9169999999995,77,frame_00077.png,frame_00077.png
4444.017,78,frame_00078.png,frame_00078.png
4444.117,79,frame_00079.png,frame_00079.png
4444.217,80,frame_00080.png,frame_00080.png
4444.317,81,frame_00081.png,frame_00081.png
4444.4169999999995,82,frame_00082.png,frame_00082.png
4444.517,83,frame_00083.png,frame_00083.png
4444.617,84,frame_00084.png,frame_00084.png
4444.717,85,frame_00085.png,frame_00085.png
4444.817,86,frame_00086.png,frame_00086.png
4444.9169999999995,87,frame_00087.png,frame_00087.png
4445.017,88,frame_00088.png,frame_00088.png
4445.117,89,frame_00089.png,frame_00089.png
4445.217,90,frame_00090.png,frame_00090.png
4445.317,91,frame_00091.png,frame_00091.png
4445.4169999999995,92,frame_00092.png,frame_00092.png
4445.517,93,frame_00093.png,frame_00093.png
4445.617,94,frame_00094.png,frame_00094.png
4445.717,95,frame_00095.png,frame_00095.png
4445.817,96,frame_00096.png,frame_00096.png
4445.9169999999995,97,frame_00097.png,frame_00097.png
4446.017,98,frame_00098.png,frame_00098.png
4446.117,99,frame_00099.png,frame_00099.png
4446.217,100,frame_00100.png,frame_00100.png
4446.317,101,frame_00101.png,frame_00101.png
4446.4169999999995,102,frame_00102.png,frame_00102.png
4446.517,103,frame_00103.png,frame_00103.png
4446.617,104,frame_00104.png,frame_00104.png
4446.717,105,frame_00105.png,frame_00105.png
4446.817,106,frame_00106.png,frame_00106.png
4446.9169999999995,107,frame_00107.png,frame_00107.png
4447.017,108,frame_00108.png,frame_00108.png
4447.117,109,frame_00109.png,frame_00109.png
4447.217,110,frame_00110.png,frame_00110.png
4447.317,111,frame_00111.png,frame_00111.png
4447.4169999999995,112,frame_00112.png,frame_00112.png
4447.517,113,frame_00113.png,frame_00113.png
4447.617,114,frame_00114.png,frame_00114.png
4447.717,115,frame_00115.png,frame_00115.png
4447.817,116,frame_00116.png,frame_00116.png
4447.9169999999995,117,frame_00117.png,frame_00117.png
4448.017,118,frame_00118.png,frame_00118.png
4448.117,119,frame_00119.png,frame_00119.png
4448.217,120,frame_00120.png,frame_00120.png
4448.317,121,frame_00121.png,frame_00121.png
4448.4169999999995,122,frame_00122.png,frame_00122.png
4448.517,123,frame_00123.png,frame_00123.png
4448.617,124,frame_00124.png,frame_00124.png
4448.717,125,frame_00125.png,frame_00125.png
4448.817,126,frame_00126.png,frame_00126.png
4448.9169999999995,127,frame_00127.png,frame_00127.png
4449.017,128,frame_00128.png,frame_00128.png
4449.117,129,frame_00129.png,frame_00129.png
4449.217,130,frame_00130.png,frame_00130.png
4449.317,131,frame_00131.png,frame_00131.png
4449.4169999999995,132,frame_00132.png,frame_00132.png
4449.517,133,frame_00133.png,frame_00133.png
4449.617,134,frame_00134.png,frame_00134.png
4449.717,135,frame_00135.png,frame_00135.png
4449.817,136,frame_00136.png,frame_00136.png
4449.9169999999995,137,frame_00137.png,frame_00137.png
4450.017,138,frame_00138.png,frame_00138.png
4450.117,139,frame_00139.png,frame_00139.png
4450.217,140,frame_00140.png,frame_00140.png
4450.317,141,frame_00141.png,frame_00141.png
4450.4169999999995,142,frame_00142.png,frame_00142.png
4450.517,143,frame_00143.png,frame_00143.png
4450.617,144,frame_00144.png,frame_00144.png
4450.717,145,frame_00145.png,frame_00145.png
4450.817,146,frame_00146.png,frame_00146.png
4450.9169999999995,147,frame_00147.png,frame_00147.png
4451.017,148,frame_00148.png,frame_00148.png
4451.117,149,frame_00149.png,frame_00149.png
4451.217,150,frame_00150.png,frame_00150.png
4451.317,151,frame_00151.png,frame_00151.png
4451.4169999999995,152,frame_00152.png,frame_00152.png
4451.517,153,frame_00153.png,frame_00153.png
4451.617,154,frame_00154.png,frame_00154.png
4451.717,155,frame_00155.png,frame_00155.png
4451.817,156,frame_00156.png,frame_00156.png
4451.9169999999995,157,frame_00157.png,frame_00157.png
4452.017,158,frame_00158.png,frame_00158.png
4452.117,159,frame_00159.png,frame_00159.png
4452.217,160,frame_00160.png,frame_00160.png
4452.317,161,frame_00161.png,frame_00161.png
4452.4169999999995,162,frame_00162.png,frame_00162.png
4452.517,163,frame_00163.png,frame_00163.png
4452.617,164,frame_00164.png,frame_00164.png
4452.717,165,frame_00165.png,frame_00165.png
4452.817,166,frame_00166.png,frame_00166.png
4452.9169999999995,167,frame_00167.png,frame_00167.png
4453.017,168,frame_00168.png,frame_00168.png
4453.117,169,frame_00169.png,frame_00169.png
4453.217,170,frame_00170.png,frame_00170.png
4453.317,171,frame_00171.png,frame_00171.png
4453.4169999999995,172,frame_00172.png,frame_00172.png
4453.517,173,frame_00173.png,frame_00173.png
4453.617,174,frame_00174.png,frame_00174.png
4453.717,175,frame_00175.png,frame_00175.png
4453.817,176,frame_00176.png,frame_00176.png
4453.9169999999995,177,frame_00177.png,frame_00177.png
4454.017,178,frame_00178.png,frame_00178.png
4454.117,179,frame_00179.png,frame_00179.png
4454.217,180,frame_00180.png,frame_00180.png
4454.317,181,frame_00181.png,frame_00181.png
4454.4169999999995,182,frame_00182.png,frame_00182.png
4454.517,183,frame_00183.png,frame_00183.png
4454.617,184,frame_00184.png,frame_00184.png
4454.717,185,frame_00185.png,frame_00185.png
4454.817,186,frame_00186.png,frame_00186.png
4454.9169999999995,187,frame_00187.png,frame_00187.png
4455.017,188,frame_00188.png,frame_00188.png
4455.117,189,frame_00189.png,frame_00189.png
4455.217,190,frame_00190.png,frame_00190.png
4455.317,191,frame_00191.png,frame_00191.png
4455.4169999999995,192,frame_00192.png,frame_00192.png
4455.517,193,frame_00193.png,frame_00193.png
4455.617,194,frame_00194.png,frame_00194.png
4455.717,195,frame_00195.png,frame_00195.png
4455.817,196,frame_00196.png,frame_00196.png
4455.9169999999995,197,frame_00197.png,frame_00197.png
4456.017,198,frame_00198.png,frame_00198.png
4456.117,199,frame_00199.png,frame_00199.png
4456.217,200,frame_00200.png,frame_00200.png
4456.317,201,frame_00201.png,frame_00201.png
4456.4169999999995,202,frame_00202.png,frame_00202.png
4456.517,203,frame_00203.png,frame_00203.png
4456.617,204,frame_00204.png,frame_00204.png
4456.717,205,frame_00205.png,frame_00205.png
4456.817,206,frame_00206.png,frame_00206.png
4456.9169999999995,207,frame_00207.png,frame_00207.png
4457.017,208,frame_00208.png,frame_00208.png
4457.117,209,frame_00209.png,frame_00209.png
4457.217,210,frame_00210.png,frame_00210.png
4457.317,211,frame_00211.png,frame_00211.png
4457.4169999999995,212,frame_00212.png,frame_00212.png
4457.517,213,frame_00213.png,frame_00213.png
4457.617,214,frame_00214.png,frame_00214.png
4457.717,215,frame_00215.png,frame_00215.png
4457.817,216,frame_00216.png,frame_00216.png
4457.9169999999995,217,frame_00217.png,frame_00217.png
4458.017,218,frame_00218.png,frame_00218.png
4458.117,219,frame_00219.png,frame_00219.png
4458.217,220,frame_00220.png,frame_00220.png
4458.317,221,frame_00221.png,frame_00221.png
4458.4169999999995,222,frame_00222.png,frame_00222.png
4458.517,223,frame_00223.png,frame_00223.png
4458.617,224,frame_00224.png,frame_00224.png
4458.717,225,frame_00225.png,frame_00225.png
4458.817,226,frame_00226.png,frame_00226.png
4458.9169999999995,227,frame_00227.png,frame_00227.png
4459.017,228,frame_00228.png,frame_00228.png
4459.117,229,frame_00229.png,frame_00229.png
4459.217,230,frame_00230.png,frame_00230.png
4459.317,231,frame_00231.png,frame_00231.png
4459.4169999999995,232,frame_00232.png,frame_00232.png
4459.517,233,frame_00233.png,frame_00233.png
4459.617,234,frame_00234.png,frame_00234.png
4459.717,235,frame_00235.png,frame_00235.png
4459.817,236,frame_00236.png,frame_00236.png
4459.9169999999995,237,frame_00237.png,frame_00237.png
4460.017,238,frame_00238.png,frame_00238.png
4460.117,239,frame_00239.png,frame_00239.png
4460.217,240,frame_00240.png,frame_00240.png
4460.317,241,frame_00241.png,frame_00241.png
4460.4169999999995,242,frame_00242.png,frame_00242.png
4460.517,243,frame_00243.png,frame_00243.png
4460.617,244,frame_00244.png,frame_00244.png
4460.717,245,frame_00245.png,frame_00245.png
4460.817,246,frame_00246.png,frame_00246.png
4460.9169999999995,247,frame_00247.png,frame_00247.png
4461.017,248,frame_00248.png,frame_00248.png
4461.117,249,frame_00249.png,frame_00249.png
4461.217,250,frame_00250.png,frame_00250.png
4461.317,251,frame_00251.png,frame_00251.png
4461.4169999999995,252,frame_00252.png,frame_00252.png
4461.517,253,frame_00253.png,frame_00253.png
4461.617,254,frame_00254.png,frame_00254.png
