controller_time_s,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,gripper_state,gripper_event_counter
10467.552,-0.44795102551447485,-0.4779515845680009,0.3397863275606845,1.1350707949990524,2.8939124081339638,-0.026785055290424357,0,0
10467.652,-0.44794326823939057,-0.4779507830812705,0.3397770649239214,1.1350890922229027,2.893837411918216,-0.026743426006782513,0,0
10467.752,-0.4479236065636619,-0.4779304312690602,0.33970169485149443,1.1350386099915264,2.893796677960304,-0.026521100018691828,0,0
10467.851999999999,-0.44792300080366126,-0.4779221498802746,0.33969933313391304,1.1350712395923026,2.893798621310876,-0.026500754552617585,0,0
10467.952,-0.4479066793172763,-0.4779524565098127,0.3397024608962401,1.1350216201154715,2.8938260029239196,-0.026570911658829497,0,0
10468.052,-0.4479155047022468,-0.47793237446981324,0.3396930330066441,1.1350342978512964,2.8938013334576373,-0.026484030423318768,0,0
10468.152,-0.4479055497920787,-0.4779338256072417,0.33967249523040144,1.1350231295998119,2.893789946184643,-0.026428575793603883,0,0
10468.252,-0.4479057835310186,-0.47794009563827866,0.33968527139528953,1.1350298264687224,2.8938042475931804,-0.026476877015261007,0,0
10468.351999999999,-0.4479105164665389,-0.47793911441128983,0.33968030591611065,1.1350290132033047,2.8938255976977723,-0.026488174603416677,0,0
10468.452,-0.4479130655445987,-0.47794512612661644,0.33968942002334057,1.1350269639256894,2.8938002347642793,-0.026529421710832196,0,0
10468.552,-0.4479151402029931,-0.47793994903061876,0.339698473593932,1.135006127459538,2.893829818441711,-0.02648860107262468,0,0
10468.652,-0.44791860626713925,-0.47792460082487304,0.33971143445985,1.1351334065368808,2.8937792443407946,-0.026575602310044532,0,0
10468.752,-0.44789875958754055,-0.4779342354893408,0.3396800838853372,1.1350324522996869,2.8937798117216844,-0.02646864100916737,0,0
10468.851999999999,-0.447922050437296,-0.47792427749855787,0.3397031209528687,1.1350875984744928,2.8937900896797624,-0.026495937962235306,0,0
10468.952,-0.447904478241457,-0.47793207777377306,0.33969461941997137,1.1350836733319216,2.893809678745634,-0.026434963359005526,0,0
10469.052,-0.4478997131938337,-0.47793908750714426,0.3396890919773551,1.1350041294807547,2.893803271534878,-0.026461993624559067,0,0
10469.152,-0.44791761247956485,-0.47793193284142826,0.3397206772055077,1.1350515009990096,2.893851821262497,-0.026566081605428532,0,0
10469.252,-0.44792374763053394,-0.4779254782414393,0.3396788306987435,1.1350761227086397,2.8937721194549613,-0.026446066948062046,0,0
10469.351999999999,-0.44790790593346425,-0.47792972064988093,0.3396730606638402,1.1350540213876354,2.893803711083993,-0.02641651822611715,0,0
10469.452,-0.4478982848999206,-0.47793890900595143,0.33968010450556635,1.1350226881645258,2.893804506181821,-0.026411323287729462,0,0
10469.552,-0.44790901030458574,-0.4779381004524968,0.33964071496774695,1.1350246975456015,2.8937331669173276,-0.02636782270503489,0,0
10469.652,-0.44788092830658177,-0.4779356435996875,0.33963657965696414,1.1350170370253936,2.8937683898397504,-0.026315391366983274,0,0
10469.752,-0.4470422794582694,-0.4787155994608668,0.33961692607602567,1.1324234060013114,2.894861848155615,-0.02609818627417595,0,0
10469.851999999999,-0.445170235665282,-0.4803698488525884,0.3394758393086529,1.1268960923113993,2.896858286304467,-0.025560229768104094,0,0
10469.952,-0.44285075167152516,-0.48221138941028774,0.3390142781711346,1.120305439469669,2.898810691496398,-0.02419168661437169,0,0
10470.052,-0.43970318117778545,-0.4837440634028099,0.33676629170621397,1.1125055969046613,2.8990161823825766,-0.01788349060174485,0,0
10470.152,-0.43441004515576803,-0.4845534701122416,0.33030090115935923,1.1016912588696282,2.8951700210477185,3.94310318957666e-05,0,0
10470.252,-0.42833579963238616,-0.4835976419159052,0.32041559548686394,1.0917138360403014,2.886486432354693,0.02739431930199015,0,0
10470.351999999999,-0.42332631145318056,-0.4801066782449048,0.3087083029705393,1.0870678138864345,2.873032318198089,0.05952679373356166,0,0
10470.452,-0.41789811657204745,-0.4761882868278531,0.2966166886899231,1.082333859935896,2.858616136578135,0.09289158889973503,0,0
10470.552,-0.4136443892650703,-0.473088182715436,0.2877460456943979,1.0790466734986395,2.848631403091562,0.1152494370407532,0,0
10470.652,-0.41157976166109805,-0.47157907952723777,0.2835094552320467,1.0774821651157902,2.843629629549377,0.1257393540437726,0,0
10470.752,-0.41019437926983193,-0.47078697315627277,0.2808818043929785,1.076020398485624,2.840733631888711,0.13251518770910825,0,0
10470.851999999999,-0.4079392984471496,-0.4708591209229539,0.2785108954578201,1.0718613146102103,2.839000467381415,0.13938484969598658,0,0
10470.952,-0.4054472900774322,-0.47206448412633134,0.27732609365915684,1.0656738597155317,2.839821566268678,0.14284429763012205,0,0
10471.052,-0.4038024877504714,-0.47348023574854764,0.277316232435144,1.0608293086075327,2.8419542118614265,0.14282971135089517,0,0
10471.152,-0.3999225821502779,-0.47675004775922364,0.2772801918169786,1.0493434088472775,2.8465251919623853,0.14361720618771617,0,0
10471.252,-0.3945306324209807,-0.4810444477364794,0.27705718296249027,1.0337102064463959,2.85241154830846,0.14518392908566843,0,0
10471.351999999999,-0.39137977374757,-0.48271399080596417,0.2758559327962109,1.0256749255842859,2.8538735668243893,0.14909872265757548,0,0
10471.452,-0.3876000620718934,-0.4835926542143159,0.27304997498146893,1.0175014795497608,2.8530992922875678,0.15755522575064723,0,0
10471.552,-0.38215533836927157,-0.4839434611480459,0.2681273080836467,1.0069820824094962,2.8500253319309614,0.17219620098168287,0,0
10471.652,-0.3745736892462756,-0.48189998634831627,0.25849865797843763,0.9956404939674393,2.840113401248854,0.20062905089627556,0,0
10471.752,-0.36650747368165043,-0.4784620523655303,0.24743684226036383,0.9853296463428252,2.827227844376848,0.23346012579112838,0,0
10471.851999999999,-0.3611543488179393,-0.476875069718051,0.24112571832036506,0.9774405792713302,2.820423334054307,0.25262303845059814,0,0
10471.952,-0.35799676299637806,-0.47704969983506784,0.2377492939714903,0.9709759329558985,2.8179098162393657,0.26252886535327846,0,0
10472.052,-0.3566601010417328,-0.4784086806418424,0.2338287714658142,0.9652103011976487,2.8155952589179107,0.2716522985654573,0,0
10472.152,-0.3567718757813084,-0.47937961542014673,0.226243912505396,0.9613553337820159,2.8083525125227013,0.2878705378529047,0,0
10472.252,-0.3572255983700964,-0.4799555378686503,0.21897139741339539,0.9587339212381938,2.8008946932925367,0.3031828107578797,0,0
10472.351999999999,-0.3570070740745274,-0.4803210759206022,0.2167042569225077,0.9570438300041141,2.7989155540111823,0.3080843633049367,0,0
10472.452,-0.3554126806356778,-0.4810756609944176,0.2162241371469666,0.9530185383623518,2.7998709259421353,0.31003371318833967,0,0
10472.552,-0.35184627355798426,-0.4815170444733054,0.2139982671165387,0.9457987880853675,2.7989922039401725,0.3174156108244597,0,0
10472.652,-0.34914272035648986,-0.4811289593191058,0.21151423359874658,0.9412517689362953,2.796637451832774,0.325327664864112,0,0
10472.752,-0.347400201886968,-0.4798506912695445,0.2067111814317073,0.93895293189457,2.790298057126255,0.33809028677315683,0,0
10472.851999999999,-0.3450777536976895,-0.47830132101538003,0.20007197768457496,0.9355402839505343,2.7817140096369783,0.35545333430627496,0,0
10472.952,-0.34367714908175556,-0.4770633984789729,0.19646180340033897,0.9341168493370945,2.776582362441006,0.36523574728998665,0,0
10473.052,-0.34365989263861674,-0.4770795031245363,0.1964822942629846,0.9340914398701713,2.7766226016536923,0.36516418631996,0,0
10473.152,-0.34366743609833855,-0.4770810861738668,0.19647789345544148,0.9341429336925473,2.7765962029385665,0.36517980274610806,0,0
10473.252,-0.34366371980458765,-0.4770737905463358,0.19646434959076386,0.934098685073519,2.7766112553814497,0.36523876777518033,0,0
10473.351999999999,-0.34369006264007,-0.47706884632789315,0.19648091495391767,0.9341745405073962,2.7765897784988587,0.365187497034152,1,1
10473.452,-0.3436644582380969,-0.47707288844761386,0.19646894576587728,0.9341009888850266,2.776600531581145,0.3652182483937156,1,1
10473.552,-0.3436804504606807,-0.47708497795051175,0.19649893694674803,0.9341538767416631,2.7766576517520063,0.3650778279776282,1,1
10473.652,-0.34367836072385116,-0.477076782344095,0.19650336419554093,0.9341246931925491,2.7766438763472037,0.36512425167825463,1,1
10473.752,-0.3436719437732104,-0.4770809186151773,0.19647951933486457,0.9341055778496871,2.776653641650057,0.365159993376166,1,1
10473.851999999999,-0.343673377190671,-0.477077470218713,0.196489163180065,0.9340934509210926,2.776672917935948,0.36514462432932987,1,1
10473.952,-0.343676819804818,-0.477089221362843,0.19650074063677458,0.9341110765145856,2.776684370637357,0.3650813506402711,1,1
10474.052,-0.34368708303951456,-0.47708541946941757,0.19652850689808443,0.9341240016801912,2.7767338235513312,0.36499305352556843,1,1
10474.152,-0.34369457080110144,-0.47708266457772364,0.19652219816882993,0.9341183488474463,2.7767013076456326,0.3649985705012384,1,1
10474.252,-0.3436902874005992,-0.4770790799990328,0.1965176344177181,0.9341536709666814,2.7766918908387748,0.3650497016147878,1,1
10474.351999999999,-0.3436825368426493,-0.4770862595822472,0.19652662088359502,0.9341428664720456,2.7767081584260405,0.364999313164383,1,1
10474.452,-0.34369077281412796,-0.47708428346045,0.19652175306287867,0.9341414681509185,2.7766953696733205,0.3650145973645732,1,1
10474.552,-0.34367555705054015,-0.4771010674652078,0.19653339695596214,0.9340915165482941,2.7767566431726647,0.36494938229141954,1,1
10474.652,-0.3436956896317377,-0.4770801238865924,0.19652192799576573,0.9341668684166784,2.7767248624996888,0.36499935625767005,1,1
10474.752,-0.34369163378339684,-0.4770961002389155,0.19659455844993212,0.9341727843385746,2.776801452479716,0.36478572532947945,1,1
10474.851999999999,-0.3437013232967246,-0.4770901820756686,0.19663213015167474,0.9341861316687148,2.7768592308251234,0.364708080453735,1,1
10474.952,-0.34366885793472735,-0.47709195971195306,0.19668098265614958,0.934134710919897,2.776944494946547,0.36459969975656115,1,1
10475.052,-0.34363959499498453,-0.4771033241970868,0.19721385159850763,0.9342898135116563,2.777554833338364,0.36340888615884315,1,1
10475.152,-0.3435498792023122,-0.4770862978951128,0.19934065161697176,0.9349066279370154,2.780119914483083,0.3586052082715133,1,1
10475.252,-0.3431100426902204,-0.47695797198940726,0.2043505274234168,0.9360360510737301,2.785772398282361,0.34809140825708373,1,1
10475.351999999999,-0.34154530198005556,-0.47757827209293674,0.20991409711198283,0.9342211252178271,2.793326706304953,0.3365760377321499,1,1
10475.452,-0.3376187176131189,-0.47988153322268207,0.2143721818991124,0.9252451685600862,2.8023221084415786,0.3281052774345037,1,1
10475.552,-0.33280838552562214,-0.4826629560891413,0.21942213056924476,0.914020284084841,2.8128181748572105,0.3184782428064532,1,1
10475.652,-0.32810203329957527,-0.4853163532015104,0.22417786474741294,0.9029879053524114,2.8227373032595398,0.3093206206089556,1,1
10475.752,-0.32278520961442436,-0.4884597381513648,0.22735785661381228,0.8894987129333783,2.83164889542506,0.3036901733012836,1,1
10475.851999999999,-0.3164049183879378,-0.4923169463661546,0.22971527225098784,0.8725811999766228,2.8407561215634884,0.30008340157251606,1,1
10475.952,-0.31124369795960605,-0.49508545718863667,0.23345568977076964,0.8598410763880443,2.8497841631083447,0.2929918383958595,1,1
10476.052,-0.3066326066507927,-0.49730848593331045,0.23806932955900012,0.8491340664111385,2.8588431018333407,0.28374786261493384,1,1
10476.152,-0.30016896102729806,-0.5007694055154143,0.2412230905756627,0.8324814892505439,2.8682678786271305,0.27807762833344946,1,1
10476.252,-0.2924970224031822,-0.5051577681950156,0.2426520313985439,0.811519991536942,2.8771157608568756,0.2764603749204047,1,1
10476.351999999999,-0.2853562385944274,-0.5094287378950713,0.24467022108316655,0.7916718577862897,2.8862404932488634,0.27298969750850005,1,1
10476.452,-0.27911250947186456,-0.513910693987648,0.24818091618688182,0.7734131343552979,2.896607104152371,0.26507204460989653,1,1
10476.552,-0.2744176960246447,-0.5193075074374812,0.2545976206463121,0.7571615854882939,2.9099093578955646,0.24840252779557043,1,1
10476.652,-0.2704546490005532,-0.5250840829540802,0.26228794733002503,0.7419575221618225,2.9241713448163495,0.2277061200191481,1,1
10476.752,-0.2681811419771955,-0.5309189185979944,0.2696810843444819,0.7298129820183483,2.937100881825861,0.20642559971186913,1,1
10476.851999999999,-0.2660983023092889,-0.5362637883874966,0.27572711595332233,0.7186043011707863,2.947941637997727,0.1886837060408372,1,1
10476.952,-0.2588862375874602,-0.5418869977128544,0.2787428662941758,0.696317750690508,2.9578141358574235,0.18064844070955097,1,1
10477.052,-0.24634373565544812,-0.5477779400328523,0.2788580756507239,0.6623959154654933,2.967020799685053,0.1820823031096493,1,1
10477.152,-0.23187099336466196,-0.5541386405673125,0.278998691708665,0.6235590002314808,2.977056837585787,0.18361280836213584,1,1
10477.252,-0.2182196158057082,-0.560562368905229,0.2803217220917198,0.5861712247104086,2.987599499000445,0.18141297812554386,1,1
10477.351999999999,-0.2071013256380463,-0.5669605711627629,0.2835783283880403,0.5541993151397655,2.998461799079123,0.1727317176499559,1,1
10477.452,-0.19846956884072367,-0.5728937982254266,0.28802661543260366,0.5282069344566668,3.0087325035491714,0.16005661746710462,1,1
10477.552,-0.1925610399149822,-0.5791479160059864,0.29471874695483224,0.5078370424733989,3.019893082309318,0.14007043574232156,1,1
10477.652,-0.19005424955324304,-0.5854462543757365,0.30388901729166184,0.4950665492473144,3.0311376603638505,0.11212642630657063,1,1
10477.752,-0.19022474282051588,-0.5906367564201417,0.31305765756572085,0.48951924520376877,3.040610925486293,0.08386355527987063,1,1
10477.851999999999,-0.1905604281331457,-0.5941910476596822,0.3194046946749983,0.48621814742870023,3.046924050694266,0.06439075405464585,1,1
10477.952,-0.18945288887168163,-0.5965535956380501,0.3217837556194858,0.48094578842145813,3.0504690793491394,0.05683271925189124,1,1
10478.052,-0.18605754150741582,-0.5985319570937374,0.31930191742485947,0.47102798057867906,3.0506647208650266,0.06271309798326845,1,1
10478.152,-0.18191047261142926,-0.6010925529440411,0.31434336520637,0.458666399428476,3.049536559124136,0.07463845730542823,1,1
10478.252,-0.17681520149865887,-0.6043403664300587,0.30736072182282503,0.4433668516561763,3.0475597095628686,0.09139184225486724,1,1
10478.351999999999,-0.1711122921240158,-0.6080839076516706,0.2984354968402818,0.4262247643297012,3.044572075110433,0.11259231909106164,1,1
10478.452,-0.1672061623168743,-0.611006870284417,0.29059618812700494,0.4140607466757356,3.041491611145613,0.13095557765518187,1,1
10478.552,-0.16563115012021862,-0.6131557339981649,0.2850485061221621,0.4080161454774426,3.0390108457591807,0.14328972434721765,1,1
10478.652,-0.16539826514425654,-0.6146041745334541,0.2823233822795068,0.40576301329491826,3.037823983852909,0.14869812885981845,1,1
10478.752,-0.16501876685475178,-0.6155030798507415,0.28162943540865887,0.4039077915711953,3.0379453637127853,0.1496634170334422,1,1
10478.851999999999,-0.16344786885379542,-0.6171234441789314,0.2819370512728403,0.398759375974644,3.0393774478903928,0.14774338582611996,1,1
10478.952,-0.16115336559928622,-0.619554626842456,0.2815300244082777,0.3911757033729542,3.0408763536707215,0.14700006215643371,1,1
10479.052,-0.159623840613602,-0.6230238436881346,0.27958905269755874,0.3840880593333457,3.0416641449798836,0.14860684974744734,1,1
10479.152,-0.15975459043593981,-0.6273813446404086,0.2768434499608865,0.37960530782627255,3.041886743029597,0.15041016901233897,1,1
