controller_time_s,tcp_x,tcp_y,tcp_z,tcp_rx,tcp_ry,tcp_rz,gripper_state,gripper_event_counter,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,host_receive_time_s
2871.1569999999997,-0.4479490790114275,-0.4779619738473137,0.33975828884475945,1.1351267100751372,2.893839551138179,-0.026726009713735503,0,0,0.6091198921203613,-1.1707962316325684,1.4655216375934046,-1.8609158001341761,-1.5287345091449183,-0.21468955675234014,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113954.3003807
2871.257,-0.4479214246989172,-0.4779282124722926,0.33966620258831565,1.1350689897951658,2.8937713864844428,-0.026472250345010766,0,0,0.609104335308075,-1.1708033841899415,1.4657281080829065,-1.8609305820860804,-1.5287531057940882,-0.21472722688783819,0.0,0.0,7.370430830633268e-05,0.0,-0.0,0.0,1789113954.3888366
2871.357,-0.44791091076987233,-0.4779306803806046,0.33970132758850163,1.135091990517368,2.893801405996291,-0.026504251391526956,0,0,0.6091198921203613,-1.1708451968482514,1.4657047430621546,-1.8609034023680628,-1.5287721792804163,-0.21470433870424444,0.0,0.0,-5.026875314762664e-16,0.0,-0.0,0.0,1789113954.4888577
2871.457,-0.44789874674413377,-0.47794977996710397,0.339681173336971,1.1350094059735059,2.8937890684371705,-0.026482458221726016,0,0,0.6091509461402893,-1.170814113026001,1.4657047430621546,-1.8609000645079554,-1.5287449995623987,-0.21472055116762334,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113954.5888586
2871.557,-0.44792789728200816,-0.47793308704216464,0.3396969883917832,1.1350862288319206,2.8937904406382993,-0.026538926759916547,0,0,0.6091042757034302,-1.170814113026001,1.4656747023211878,-1.8609158001341761,-1.5287497679339808,-0.21472055116762334,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113954.6888258
2871.6569999999997,-0.44791625425262593,-0.4779278330450003,0.3396944332307059,1.135076273561934,2.893763120007483,-0.026537888218409543,0,0,0.6091042757034302,-1.1708380740932007,1.4657118956195276,-1.8609124622740687,-1.5287259260760706,-0.21472055116762334,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113954.7888231
2871.757,-0.4479143476892258,-0.4779313122337248,0.33968709156735355,1.1350601758483352,2.893770883059197,-0.026497473932489062,0,0,0.6091127991676331,-1.1708261531642457,1.4657085577594202,-1.8609000645079554,-1.528741184865133,-0.21472388902773076,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113954.8887365
2871.857,-0.4479048819588055,-0.47793756206592536,0.33971529008408474,1.135071425160728,2.893785184528711,-0.026557888730597085,0,0,0.6091282367706299,-1.170857087974884,1.465689484273092,-1.8608929119505824,-1.5287345091449183,-0.21470433870424444,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113954.9887016
2871.957,-0.44790517590595624,-0.47793170477579183,0.33970612122999555,1.1350506617658824,2.8937781547812804,-0.026535329662380463,0,0,0.6091198921203613,-1.1708571177772065,1.4657085577594202,-1.8608914814391078,-1.5287306944476526,-0.21472388902773076,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113955.0885715
2872.057,-0.4479010140077198,-0.4779499110151716,0.33970072042117244,1.1350152518880319,2.893821772276032,-0.0265260708458803,0,0,0.6091509461402893,-1.170829789047577,1.4656861464129847,-1.8609072170653285,-1.5287569204913538,-0.21472388902773076,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113955.1885986
2872.1569999999997,-0.44792408271213363,-0.4779315146699328,0.33968027209931506,1.1350515274140565,2.893778869552681,-0.026507719560964677,0,0,0.609104335308075,-1.1708069008639832,1.465700928364889,-1.8609191379942835,-1.528741184865133,-0.21473914781679326,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113955.2885098
2872.257,-0.44792925825292185,-0.47791979024625114,0.3396889729826713,1.1350650687623676,2.893784046634635,-0.026520348804590182,0,0,0.6090853214263916,-1.1708261531642457,1.4657085577594202,-1.8609191379942835,-1.5287449995623987,-0.21475106874574834,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113955.38859
2872.357,-0.44791414673195856,-0.47793993542824054,0.3396823496959274,1.1350735729828894,2.893768541329836,-0.02651321020281671,0,0,0.6091234683990479,-1.1708104771426697,1.4657014052020472,-1.8609191379942835,-1.5287378470050257,-0.21470433870424444,0.0,0.0,-0.0,0.0,-0.0,0.0,1789113955.488614
2872.457,-0.447905715731408,-0.47795039792544786,0.33966674055119317,1.1349930483342696,2.8937818928959063,-0.02648232454951694,0,0,0.609143853187561,-1.1707914036563416,1.4657085577594202,-1.8609191379942835,-1.5287345091449183,-0.21473580995668584,1.1491998352381788e-31,0.0,-0.0,0.0,-0.0,0.0,1789113955.5886853
2872.557,-0.4479172486988701,-0.47791967509762956,0.33971055900620634,1.1350708049176628,2.8937682581014688,-0.02653113467315575,0,0,0.6090937256813049,-1.1708607536605378,1.465700928364889,-1.8608762226500453,-1.5287306944476526,-0.21473580995668584,5.6700766435824335e-05,0.0,2.548735484614479e-28,0.0,-0.0,0.0,1789113955.6885893
2872.6569999999997,-0.4475671029818175,-0.47825702470518366,0.3396802669598968,1.134031739458943,2.894154441633711,-0.026468506556049667,0,0,0.6098387241363525,-1.1708190006068726,1.4657133261310022,-1.8609000645079554,-1.5287345091449183,-0.21470433870424444,0.010845647193491459,0.0,-0.0,0.0,-0.0,0.0,1789113955.788549
2872.757,-0.4474271026114522,-0.4783769266038728,0.33967184771087716,1.133596991792229,2.8943061125691614,-0.02645972975908975,0,0,0.6101154088973999,-1.1708309215358277,1.465750519429342,-1.8609158001341761,-1.5287225882159632,-0.21472388902773076,0.00016462655912619084,-6.2764417881138e-23,0.0016073065344244242,0.0,-0.0,0.0,1789113955.8885994
2872.857,-0.4472179883382311,-0.4782216357695793,0.33914872740461477,1.1334022906370915,2.8937723881687982,-0.02492786043678896,0,0,0.6101140975952148,-1.1708786350539704,1.466910187398092,-1.8608876667418421,-1.5287860075580042,-0.21473914781679326,-3.301682589980891e-14,-0.00021665063104592264,0.018488377332687378,0.0,-0.0,0.0,1789113955.9885433
2872.957,-0.4462504837249073,-0.4780160865794268,0.33743655497767167,1.1319345842181274,2.892258333168821,-0.02019250614288532,0,0,0.6107250452041626,-1.1709854763797303,1.4706719557391565,-1.860927244225973,-1.5288265387164515,-0.21472388902773076,0.010047385469079018,-0.0004599663952831179,0.05217859148979187,0.0,-0.00036518918932415545,0.0,1789113956.0885499
2873.057,-0.4450282580173575,-0.47736641605135405,0.33486167329046357,1.1306061258291944,2.88953677703838,-0.013057354068222383,0,0,0.6109921336174011,-1.1713134509376069,1.4765670935260218,-1.8609873257079066,-1.528830353413717,-0.21472388902773076,-0.0004461511562112719,-0.0024798212107270956,0.07109344750642776,-0.00015518013969995081,-0.00011775747407227755,0.0,1789113956.188551
2873.1569999999997,-0.4434916252593296,-0.4762630231521977,0.33104246205257704,1.129258599446803,2.8854093595344708,-0.0023874495307293843,0,0,0.6109899282455444,-1.1715288323215027,1.4849584738360804,-1.8610230884947718,-1.5290206114398401,-0.21472388902773076,0.00026166450697928667,-0.006776776164770126,0.09388237446546555,-9.104065247811377e-05,-0.0011037978110834956,0.0,1789113956.2885528
2873.257,-0.44206786445012125,-0.4745785762921471,0.32817162727634885,1.129446473518718,2.881652934369116,0.006067982212616537,0,0,0.6101380586624146,-1.17343162119899,1.493716065083639,-1.8614183864989222,-1.5292204062091272,-0.21470433870424444,-0.011543666943907738,-0.0321306437253952,0.09128880500793457,-0.004284282214939594,-0.0012580844340845942,0.0,1789113956.3885992
2873.357,-0.43909469988068217,-0.47183635744286734,0.32637180933064003,1.1295775315483556,2.8779746506348394,0.014143437671565114,0,0,0.6093080043792725,-1.1803059142879029,1.5068309942828577,-1.8614350757994593,-1.5293658415423792,-0.21472055116762334,-0.00021398329408839345,-0.09704843163490295,0.18539145588874817,-0.00022524727683048695,-0.005584442988038063,0.0,1789113956.488591
2873.457,-0.4330439197035672,-0.46914467325515374,0.3227524231035116,1.1248302066591236,2.873752244426205,0.028535681681049474,0,0,0.6114199161529541,-1.1896496278098603,1.5271709601031702,-1.8616095981993617,-1.5298998991595667,-0.21468955675234014,0.020291639491915703,-0.09569258987903595,0.2224721610546112,-0.006055436562746763,-0.0013299600686877966,0.0,1789113956.5886316
2873.557,-0.4272763724105238,-0.46618789508380204,0.31993066137895043,1.1214957937063128,2.870949602040336,0.03713996187983128,0,0,0.6128705739974976,-1.2001452904990693,1.54802114168276,-1.8652554951109828,-1.5298879782306116,-0.2147277037249964,0.0008976975223049521,-0.10970401763916016,0.17231158912181854,-0.04274328052997589,-0.00016209615569096059,0.0,1789113956.6886077
2873.6569999999997,-0.4235939173823276,-0.46344324241623597,0.3215532446133953,1.121962262837498,2.8714028519463253,0.03588979347540095,0,0,0.6126846671104431,-1.211806909447052,1.5603445211993616,-1.8669120273985804,-1.5299447218524378,-0.21473580995668584,-0.00043137947795912623,-0.1209370419383049,0.09990913420915604,-0.00022427033400163054,-0.0003073911357205361,0.0,1789113956.7885768
2873.757,-0.41982867970700355,-0.46089286027022663,0.3236049317683035,1.121938658978108,2.872754862064685,0.03587244398437254,0,0,0.6129974722862244,-1.2235246461680909,1.5713556448565882,-1.8669201336302699,-1.5309889952289026,-0.21473914781679326,0.0014242329634726048,-0.11162469536066055,0.11308614164590836,-7.706741598667577e-05,-0.02582998014986515,0.0,1789113956.8886485
2873.857,-0.4170931512695734,-0.45842385729278595,0.32504696346103573,1.1231570701221245,2.8749678914890113,0.03792268042602012,0,0,0.6127408742904663,-1.2328975957683106,1.58051044145693,-1.8670078716673792,-1.5338447729693812,-0.21472055116762334,-0.0025713236536830664,-0.08425267040729523,0.07689480483531952,-0.0007711088401265442,-0.029690520837903023,0.0,1789113956.9886093
2873.957,-0.41499319859867734,-0.45590937079093247,0.32683329380740955,1.1255636201684187,2.879130917586776,0.04051903229627175,0,0,0.6121540665626526,-1.2417069536498566,1.5880988279925745,-1.8670622311034144,-1.5387709776507776,-0.21470767656435186,-0.008495694026350975,-0.10002589225769043,0.09264314919710159,-0.0002315280435141176,-0.08573383092880249,0.0,1789113957.0886045
2874.057,-0.41135247072469366,-0.4518594988680333,0.3268193129042787,1.1281712005841935,2.88670401496883,0.05496141591923289,0,0,0.6121216416358948,-1.2529612344554444,1.6026509443866175,-1.8672152958311976,-1.5507705847369593,-0.21469670930971319,0.0028664658311754465,-0.11690246313810349,0.19810110330581665,-0.0030865042936056852,-0.11575228720903397,0.0,1789113957.1886084
2874.1569999999997,-0.40583002656435985,-0.4475427292424469,0.32317007088280203,1.1271888080454857,2.884834589219628,0.07063377993217547,0,0,0.6122258305549622,-1.2639126640609284,1.624997917805807,-1.86918367962026,-1.554934326802389,-0.21470767656435186,0.0003326905134599656,-0.10346124321222305,0.25615131855010986,-0.07622193545103073,-0.0003725521091837436,0.0,1789113957.2886078
2874.257,-0.4010851385946572,-0.44416350853363396,0.3194567215668387,1.1291709082273556,2.890386142121599,0.05761976097369256,0,0,0.6121590733528137,-1.2750937205604096,1.652797047291891,-1.8959671459593714,-1.5549581686602991,-0.21473914781679326,-5.484530993271619e-05,-0.115273617208004,0.2988888621330261,-0.451712042093277,-0.00022355692635755986,0.0,1789113957.3885553
2874.357,-0.39829900328771733,-0.44223206785582486,0.31710372848348023,1.137345763396155,2.9134703855066766,0.0018745280154274487,0,0,0.6121731996536255,-1.2863271993449708,1.6857755819903772,-1.9608918629088343,-1.5550106207477015,-0.21472055116762334,-0.0001702798472251743,-0.10057874023914337,0.348002552986145,-0.7689453959465027,-0.00027009836048819125,0.0,1789113957.4889958
2874.457,-0.3955694287977909,-0.4403018462373293,0.3112685561350952,-1.1381514025846122,-2.9176724251077504,0.05295268263170567,0,0,0.6121194958686829,-1.2929254335216065,1.7226203123675745,-2.0332161388792933,-1.555065933858053,-0.21473914781679326,-0.00012079456791980192,-0.04165872186422348,0.390694797039032,-0.6328562498092651,-0.00037433922989293933,0.0,1789113957.588599
2874.557,-0.3924446037878226,-0.4375946370689443,0.30110244196904623,-1.133007590926415,-2.902880876146244,0.0872728650935405,0,0,0.6113563776016235,-1.2940039199641724,1.7606757322894495,-2.0969015560545863,-1.555173699055807,-0.21472388902773076,-0.013975166715681553,-0.0011173601960763335,0.36630767583847046,-0.6784586310386658,-0.0002669449313543737,0.0,1789113957.6886241
2874.6569999999997,-0.39152349493643956,-0.4343275084853734,0.29311208324568505,-1.1301980569796968,-2.8815204455669825,0.13131409983462808,0,0,0.6075329184532166,-1.2943151754191895,1.7947877089129847,-2.1653787098326625,-1.55518085161318,-0.2147463003741663,-0.05681144446134567,-0.005134875420480967,0.30280831456184387,-0.6608443856239319,-9.422349103260785e-05,0.0,1789113957.7886245
2874.757,-0.3927737224891373,-0.43007927407170937,0.2876155715126724,-1.1339120553303312,-2.8611444940872595,0.16604295477637923,0,0,0.6000871062278748,-1.2943115693381806,1.8198402563678187,-2.218349119225973,-1.5552061239825647,-0.21473914781679326,-0.08545418828725815,0.0,0.20071940124034882,-0.36252373456954956,-0.0005256913718767464,0.0,1789113957.8886213
2874.857,-0.39451562965387166,-0.4247596287990435,0.2829466750741789,-1.1479186537602206,-2.856803365104834,0.16218605670790887,0,0,0.5905760526657104,-1.2942984265140076,1.832745377217428,-2.2285801372923792,-1.5552848021136683,-0.21473914781679326,-0.09348782151937485,0.0,0.06848514080047607,0.0003874329850077629,-0.0005294203874655068,0.0,1789113957.988627
2874.957,-0.3971409736010599,-0.42120152927814364,0.28163431270464534,-1.1596756182677253,-2.853575692382721,0.1581314333536313,0,0,0.5827525854110718,-1.2942480903914948,1.8356125990497034,-2.2285715542235316,-1.5553448835956019,-0.21472055116762334,-0.06494836509227753,6.402794679161161e-05,0.004530938342213631,0.00030518523999489844,-0.0003217741323169321,0.0,1789113958.088627
2875.057,-0.3986399215470628,-0.4194619172199201,0.28123502312164517,-1.165649967344116,-2.851598450520229,0.1566513291180679,0,0,0.5787161588668823,-1.2941991251758118,1.8363984266864222,-2.228386541406149,-1.5553773085223597,-0.21468955675234014,-0.016956627368927002,0.0007171644829213619,0.026708602905273438,0.0008031188044697046,-0.0007927397382445633,0.0,1789113958.188576
2875.1569999999997,-0.3965833090910943,-0.4179118630527536,0.2772352276777005,-1.168261795858909,-2.8566171294582534,0.14547845187012418,0,0,0.5784088373184204,-1.2941643458655854,1.8453291098224085,-2.2283693752684535,-1.5553939978228968,-0.21472055116762334,0.0003831010835710913,0.00012564030475914478,0.16293686628341675,0.00019867837545461953,-0.0002828742435667664,0.0,1789113958.2886198
2875.257,-0.3911897357843125,-0.41456511980452854,0.26794913828617883,-1.1729400114800983,-2.8686878649800684,0.11928636594291218,0,0,0.5786893963813782,-1.2941870254329224,1.8664620558368128,-2.2285663090147914,-1.5555179754840296,-0.21473580995668584,0.0042255898006260395,-9.369073086418211e-05,0.22185643017292023,-0.004038351587951183,-0.0054190861992537975,0.0,1789113958.3885689
2875.357,-0.3871265636557854,-0.41166584150318053,0.2607653017903723,-1.1769867375555838,-2.8766621393037743,0.10049152915987637,0,0,0.5783482789993286,-1.2941762071898957,1.883503262196676,-2.2308136425414027,-1.5557335058795374,-0.21470433870424444,-0.009482286870479584,7.949749124236405e-05,0.11337244510650635,-0.03556837886571884,-0.00016387447249144316,0.0,1789113958.4886158
2875.457,-0.3856239282009538,-0.41054565807518917,0.25811204283722633,-1.1786014825793152,-2.87972350909705,0.09314238626938462,0,0,0.5781469941139221,-1.2941476863673707,1.8897302786456507,-2.2312995396056117,-1.5558117071734827,-0.2147277037249964,-0.0009197448380291462,0.0005218193982727826,0.020074104890227318,-0.00011574517702683806,-0.0013893963769078255,0.0,1789113958.5886147
2875.557,-0.3856973475613128,-0.4103127228385089,0.2579631039271732,-1.1779480809267335,-2.8778745365979232,0.09038113762833228,0,0,0.5782033205032349,-1.2940518420985718,1.8899624983416956,-2.231354375878805,-1.5584810415851038,-0.21469670930971319,0.0008519546827301383,0.0006936938152648509,9.129714453592896e-05,-7.071110303513706e-05,-0.08517831563949585,0.0,1789113958.6886358
2875.6569999999997,-0.3868952763689838,-0.40891356103565824,0.25803530136886826,-1.1727508394356845,-2.862946002543294,0.07594986749517123,0,0,0.5782236456871033,-1.29372854650531,1.8898804823504847,-2.2333322964110316,-1.576921288167135,-0.21472055116762334,0.00010390421084593982,0.00017469204613007605,-0.000444720993982628,-0.08089078962802887,-0.25775593519210815,0.0,1789113958.7886555
2875.757,-0.3890745648310398,-0.4080072915568364,0.25958964330595297,-1.1649301242246346,-2.8402491520317197,0.07678394930297847,0,0,0.578144907951355,-1.293700025682785,1.8898995558368128,-2.2477222881712855,-1.5961149374591272,-0.21468955675234014,-0.0001950707519426942,0.0006403946899808943,-6.759438110748306e-05,-0.12316001206636429,-0.07995403558015823,0.0,1789113958.8886147
2875.857,-0.3892272329208424,-0.40822175371476244,0.259727026829036,-1.1639343624327645,-2.8387472800009057,0.07952085615494693,0,0,0.5783863663673401,-1.2934136551669617,1.8899033705340784,-2.250463148156637,-1.5964940229998987,-0.21471673647035772,0.003708018222823739,0.013373550027608871,1.937995776161222e-42,-9.244418470188975e-05,0.00015918456483632326,0.0,1789113958.98862
2875.957,-0.389389057708253,-0.4083446630198801,0.25842748118106434,-1.1643520212388234,-2.84014547939866,0.07654429918445059,0,0,0.578406810760498,-1.2910925906947632,1.8899543921100062,-2.250439306298727,-1.5964730421649378,-0.21475106874574834,-4.451697168406099e-05,0.03307733312249184,-0.0,5.57156527065672e-05,0.00011811011063400656,0.0,1789113959.088627
